Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MUF;Capacidad_MW;Posicion;Plazo
Región de Coquimbo;NA;Titular501;Nombre501;Solar;0.192;12.5;100;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1925;Nombre1925;Solar;0.276;8;168;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1952;Nombre1952;Solar;0.1968;7.2;126;5
Región de Valparaíso;NA;Titular1344;Nombre1344;Solar;0.216;7.224;200;3
Región de Los Lagos;NA;Titular773;Nombre773;Eólica;4.8;132;220;12
Región de Valparaíso;NA;Titular1294;Nombre1294;Solar;0.24;10.61;85;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1736;Nombre1736;Hidro;0.108;9.05;288;5
Región de Los Lagos;NA;Titular863;Nombre863;Solar;0.36;9;40;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1735;Nombre1735;Hidro;0.72;11.5;216;4
Región del Maule;NA;Titular2104;Nombre2104;Solar;0.324;10.725;42;2
Región del Maule;NA;Titular2186;Nombre2186;Solar;0.24;9;7;2
Región del Biobío;NA;Titular1674;Nombre1674;Solar;0.288;12;168;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2032;Nombre2032;Solar;0.2112;9;234;5
Región de Atacama;NA;Titular364;Nombre364;Solar;0.228;11;135;4
Región del Maule;NA;Titular2346;Nombre2346;Solar;0.2928;10.178;112;2
Región de Valparaíso;NA;Titular1329;Nombre1329;Solar;0.264;11.79;105;3
Región de Tarapacá;NA;Titular1205;Nombre1205;Solar;96;1009;39;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1962;Nombre1962;Solar;0.288;12;198;2
Región de Antofagasta;NA;Titular224;Nombre224;Solar;0.288;13.33;98;5
Región de Coquimbo;NA;Titular564;Nombre564;Solar;0.216;10.466;152;2
Región del Maule;NA;Titular2236;Nombre2236;Solar;0.24;10.025;336;3
Región de Los Lagos;NA;Titular791;Nombre791;Eólica;7.8;304;180;9
Región de Antofagasta;NA;Titular123;Nombre123;Solar;8.4;492;48;5
Región de La Araucanía;NA;Titular741;Nombre741;Solar;0.12;8.085;450;2
Región del Maule;NA;Titular2305;Nombre2305;Solar;0.264;10.5;245;2
Región de Valparaíso;NA;Titular1218;Nombre1218;Solar;0.324;8.9832;250;5
Región del Biobío;NA;Titular1682;Nombre1682;Solar;0.24;11.016;296;4
Región de Valparaíso;NA;Titular1466;Nombre1466;Solar;1.8;68.32;155;5
Región de Ñuble;NA;Titular1065;Nombre1065;Solar;0.2544;11.76;496;2
Región del Maule;NA;Titular2115;Nombre2115;Solar;0.2904;10.78;336;2
Región de Antofagasta;NA;Titular127;Nombre127;Solar;0.336;9;10;2
Región del Maule;NA;Titular2144;Nombre2144;Solar;9.12;497;35;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1872;Nombre1872;Solar;0.24;11.56;108;2
Región de Ñuble;NA;Titular1060;Nombre1060;Solar;0.2568;10.65;288;5
Región de Antofagasta;NA;Titular207;Nombre207;Solar;0.228;12.5;82;2
Región de Los Ríos;NA;Titular894;Nombre894;Hidro;0.372;7.16;196;5
Región de Valparaíso;NA;Titular1243;Nombre1243;Solar;0.24;12.16;165;5
Región de Valparaíso;NA;Titular1493;Nombre1493;Solar;0.24;11.2617;175;4
Región de Tarapacá;NA;Titular1163;Nombre1163;Solar;6.8736;318.2;34;4
Región de Ñuble;NA;Titular1061;Nombre1061;Solar;0.072;3.49;592;5
Región de Coquimbo;NA;Titular602;Nombre602;Solar;0.2256;10.49;4;4
Región del Biobío;NA;Titular1622;Nombre1622;Solar;0.24;10.61;24;5
Región de Ñuble;NA;Titular996;Nombre996;Solar;0.252;9;560;2
Región del Maule;NA;Titular2129;Nombre2129;Solar;0.24;10.66;119;2
Región del Biobío;NA;Titular1547;Nombre1547;Eólica;6;215;360;14
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2017;Nombre2017;Solar;0.24;9.79;288;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1986;Nombre1986;Solar;0.1872;8;288;2
Región del Maule;NA;Titular2361;Nombre2361;Solar;0.2568;10.52;273;4
Región de La Araucanía;NA;Titular704;Nombre704;Hidro;0.5064;19.9;270;3
Región de Coquimbo;NA;Titular507;Nombre507;Solar;0.216;10.5;200;2
Región de Los Ríos;NA;Titular920;Nombre920;Solar;0.48;11.54;644;2
Región de Atacama;NA;Titular388;Nombre388;Solar;11.04;540.09;111;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1954;Nombre1954;Solar;0.216;10.6;78;3
Región del Maule;NA;Titular2301;Nombre2301;Solar;0.2568;10.52;238;2
Región de Antofagasta;NA;Titular114;Nombre114;Solar;3.6;142;50;3
Región de Ñuble;NA;Titular1106;Nombre1106;Solar;0.36;23;176;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1815;Nombre1815;Solar;0.288;12;174;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1819;Nombre1819;Solar;0.168;7.84;198;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2009;Nombre2009;Solar;0.1584;6;186;3
Región de Arica y Parinacota;NA;Titular273;Nombre273;Solar;8.232;198.04;735;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1917;Nombre1917;Solar;0.36;17.16;54;2
Región de Valparaíso;NA;Titular1337;Nombre1337;Solar;0.24;3.23;155;3
Región del Maule;NA;Titular2152;Nombre2152;Solar;0.204;8.93;259;2
Región del Maule;NA;Titular2062;Nombre2062;Solar;0.288;9;238;5
Región del Maule;NA;Titular2314;Nombre2314;Solar;0.1176;6.02;70;3
Región del Maule;NA;Titular2064;Nombre2064;Solar;0.12;5.97;28;3
Región de La Araucanía;NA;Titular732;Nombre732;Solar;0.12;8.085;405;4
Región del Maule;NA;Titular2109;Nombre2109;Solar;0.2928;12.24;336;2
Región de Ñuble;NA;Titular1081;Nombre1081;Solar;0.24;10.66;800;3
Región del Maule;NA;Titular2230;Nombre2230;Solar;0.216;10.62;252;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1887;Nombre1887;Solar;0.5328;10.415;96;4
Región de La Araucanía;NA;Titular713;Nombre713;Solar;0.216;10;324;5
Región de Los Lagos;NA;Titular826;Nombre826;Eólica;0.408;16.8;20;11
Región de La Araucanía;NA;Titular698;Nombre698;Hidro;0.216;3.7;9;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1947;Nombre1947;Solar;0.24;6.5;270;5
Región del Maule;NA;Titular2309;Nombre2309;Solar;0.216;7.7;175;3
Región de Coquimbo;NA;Titular537;Nombre537;Solar;5.28;279.9;8;4
Región de Arica y Parinacota;NA;Titular262;Nombre262;Solar;0.288;13.8;615;3
Región del Biobío;NA;Titular1552;Nombre1552;Eólica;8.76;302.4;232;11
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1869;Nombre1869;Solar;0.24;9.59;228;5
Región del Maule;NA;Titular2190;Nombre2190;Solar;0.312;11.014;133;2
Región de Valparaíso;NA;Titular1425;Nombre1425;Solar;0.0744;2.36376;120;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1759;Nombre1759;Solar;0.2448;10.8;72;2
Región de La Araucanía;NA;Titular769;Nombre769;Solar;0.12;8.085;387;5
Región de Los Lagos;NA;Titular804;Nombre804;Eólica;0.408;16.2;380;13
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1826;Nombre1826;Solar;0.2568;10.52;60;3
Región de Atacama;NA;Titular314;Nombre314;Solar;8.928;458;24;2
Región del Biobío;NA;Titular1580;Nombre1580;Eólica;2.832;69.3;224;14
Región del Maule;NA;Titular2171;Nombre2171;Solar;0.2448;10.77;294;5
Región de Antofagasta;NA;Titular75;Nombre75;Solar;17.04;379;90;4
Región de Los Ríos;NA;Titular910;Nombre910;Solar;0.432;9;266;2
Región de Valparaíso;NA;Titular1476;Nombre1476;Solar;2.784;140.83;195;2
Región de Ñuble;NA;Titular1052;Nombre1052;Solar;0.1776;11.17;224;5
Región de La Araucanía;NA;Titular752;Nombre752;Solar;0.264;11;108;5
Región del Biobío;NA;Titular1626;Nombre1626;Solar;0.216;9;216;2
Región de La Araucanía;NA;Titular678;Nombre678;Eólica;1.56;39.6;288;11
Región del Biobío;NA;Titular1594;Nombre1594;Hidro;0.2328;3.3;328;6
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1992;Nombre1992;Solar;2.16;93;48;2
Región de La Araucanía;NA;Titular717;Nombre717;Solar;0.264;10.68;351;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1852;Nombre1852;Solar;0.2568;10.52;12;4
Región del Maule;NA;Titular2039;Nombre2039;Eólica;8.352;316.8;133;14
Región de Coquimbo;NA;Titular634;Nombre634;Solar;0.6408;6.2;84;2
Región de Ñuble;NA;Titular1028;Nombre1028;Solar;0.288;12.06;784;2
Región de Los Lagos;NA;Titular831;Nombre831;Eólica;7.8;304;340;15
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2013;Nombre2013;Solar;0.1848;8.44;216;5
Región de Ñuble;NA;Titular981;Nombre981;Solar;0.1776;9.68;176;4
Región del Maule;NA;Titular2126;Nombre2126;Solar;0.048;2.2;301;3
Región de Antofagasta;NA;Titular98;Nombre98;Solar;0.288;12.5;12;5
Región de Valparaíso;NA;Titular1377;Nombre1377;Solar;0.24;12.16;85;5
Región de Los Lagos;NA;Titular859;Nombre859;Solar;0.36;9;280;2
Región del Maule;NA;Titular2051;Nombre2051;Solar;0.264;11.016;224;5
Región del Maule;NA;Titular2294;Nombre2294;Solar;0.2568;10.52;252;3
Región de Los Ríos;NA;Titular900;Nombre900;Solar;0.36;12.16;14;5
Región de Coquimbo;NA;Titular532;Nombre532;Solar;0.2016;10.66;40;3
Región de Antofagasta;NA;Titular146;Nombre146;Solar;3.6;142;36;2
Región de Atacama;NA;Titular325;Nombre325;Solar;5.28;222.16;114;2
Región de Valparaíso;NA;Titular1358;Nombre1358;Solar;0.24;12;235;2
Región de Atacama;NA;Titular337;Nombre337;Solar;6;169.02;72;4
Región del Biobío;NA;Titular1546;Nombre1546;Eólica;5.376;107.5;56;9
Región de Coquimbo;NA;Titular584;Nombre584;Solar;0.528;12.22;180;5
Región del Maule;NA;Titular2335;Nombre2335;Solar;0.144;6.99;133;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1726;Nombre1726;Eólica;9.6;364;48;14
Región de Atacama;NA;Titular408;Nombre408;Solar;3.6;105;63;3
Región de La Araucanía;NA;Titular767;Nombre767;Solar;0.12;8.085;297;3
Región del Maule;NA;Titular2329;Nombre2329;Solar;0.2928;12.23;168;4
Región de Ñuble;NA;Titular1044;Nombre1044;Solar;0.24;10.66;544;3
Región de Atacama;NA;Titular377;Nombre377;Solar;1.3824;92.736;42;5
Región de Antofagasta;NA;Titular152;Nombre152;Solar;0.324;10.79;4;5
Región del Biobío;NA;Titular1603;Nombre1603;Hidro;0.072;3;120;4
Región de Ñuble;NA;Titular1076;Nombre1076;Solar;0.252;9;464;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1875;Nombre1875;Solar;0.432;9;174;3
Región de Ñuble;NA;Titular1056;Nombre1056;Solar;0.288;12.06;64;2
Región de Atacama;NA;Titular315;Nombre315;Solar;8.04;217.6;18;5
Región de Tarapacá;NA;Titular1184;Nombre1184;Solar;0.324;10.79;34;3
Región del Biobío;NA;Titular1571;Nombre1571;Eólica;6.72;198;248;10
Región del Maule;NA;Titular2336;Nombre2336;Solar;0.288;12;273;4
Región de Antofagasta;NA;Titular216;Nombre216;Solar;0.288;10.75;60;3
Región de Valparaíso;NA;Titular1523;Nombre1523;Solar;0.192;9.38;145;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2021;Nombre2021;Solar;0.2688;10.12;90;3
Región de Antofagasta;NA;Titular200;Nombre200;Solar;5.952;263.45;50;3
Región de Ñuble;NA;Titular1013;Nombre1013;Solar;0.216;10.606;304;2
Región de Antofagasta;NA;Titular221;Nombre221;Solar;1.392;75.41;82;3
Región de Atacama;NA;Titular405;Nombre405;Solar;9;212;87;2
Región de Ñuble;NA;Titular1105;Nombre1105;Solar;0.3288;9;384;3
Región de Los Lagos;NA;Titular820;Nombre820;Eólica;0.2808;9;120;12
Región de Atacama;NA;Titular463;Nombre463;Solar;0.324;9.58;9;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1882;Nombre1882;Solar;0.48;12.52;216;3
Región de Atacama;NA;Titular410;Nombre410;Solar;4.08;229;12;4
Región de Atacama;NA;Titular307;Nombre307;Eólica;4.8;64.8;51;15
Región de Atacama;NA;Titular328;Nombre328;Solar;0.24;7.7;39;4
Región de Arica y Parinacota;NA;Titular299;Nombre299;Solar;0.2568;10.52;135;4
Región de Ñuble;NA;Titular1007;Nombre1007;Solar;0.216;7.344;256;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1821;Nombre1821;Solar;0.288;11.2;24;4
Región de Atacama;NA;Titular389;Nombre389;Solar;0.24;10.66;81;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1896;Nombre1896;Solar;0.264;11;252;5
Región de Los Lagos;NA;Titular813;Nombre813;Eólica;0.384;21.6;480;9
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1984;Nombre1984;Solar;4.008;207.86;120;5
Región de Coquimbo;NA;Titular514;Nombre514;Solar;0.0096;0.359;164;5
Región del Maule;NA;Titular2321;Nombre2321;Solar;0.144;6.99;224;5
Región de Antofagasta;NA;Titular92;Nombre92;Solar;0.324;10.752;12;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1802;Nombre1802;Solar;0.168;7.033;156;2
Región de Valparaíso;NA;Titular1287;Nombre1287;Solar;0.18;7.01568;45;5
Región de Ñuble;NA;Titular1045;Nombre1045;Solar;0.24;11.016;64;3
Región de Tarapacá;NA;Titular1122;Nombre1122;Solar;66.9384;1032;41;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1796;Nombre1796;Solar;0.264;11.36;126;5
Región de Ñuble;NA;Titular1109;Nombre1109;Solar;0.264;10.52;432;5
Región de Coquimbo;NA;Titular610;Nombre610;Solar;0.228;12.5;116;2
Región de Ñuble;NA;Titular1049;Nombre1049;Solar;0.216;10.87;640;5
Región de Ñuble;NA;Titular954;Nombre954;Solar;0.24;11.016;656;4
Región de Antofagasta;NA;Titular87;Nombre87;Solar;0.288;12.5;40;5
Región de Valparaíso;NA;Titular1251;Nombre1251;Solar;0.24;12.16;125;3
Región de Antofagasta;NA;Titular82;Nombre82;Solar;0.288;12.5;78;5
Región de Valparaíso;NA;Titular1314;Nombre1314;Solar;0.24;10.61;30;4
Región de Atacama;NA;Titular460;Nombre460;Solar;0.3024;12.6;39;4
Región del Biobío;NA;Titular1651;Nombre1651;Solar;0.192;8;112;4
Región de Los Lagos;NA;Titular794;Nombre794;Eólica;24;430;340;14
Región de Antofagasta;NA;Titular164;Nombre164;Solar;9.6;404;68;2
Región de Antofagasta;NA;Titular33;Nombre33;Eólica;9.6;222.6;32;14
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1956;Nombre1956;Solar;0.288;9.58;42;3
Región de Antofagasta;NA;Titular44;Nombre44;Eólica-Solar;18;862.5;100;13
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1847;Nombre1847;Solar;0.24;11;102;2
Región de Ñuble;NA;Titular1055;Nombre1055;Solar;0.288;9.68;720;5
Región de Atacama;NA;Titular451;Nombre451;Solar;1.4472;15.9;9;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1791;Nombre1791;Solar;0.276;9;174;2
Región de Atacama;NA;Titular311;Nombre311;Solar;4.08;229;63;2
Región de Valparaíso;NA;Titular1399;Nombre1399;Solar;3.4056;114.3;70;3
Región de Valparaíso;NA;Titular1213;Nombre1213;Eólica;1.8;63;40;12
Región de Antofagasta;NA;Titular243;Nombre243;Solar;96;1009;96;2
Región del Biobío;NA;Titular1555;Nombre1555;Eólica;3.6;68;168;11
Región de Los Lagos;NA;Titular787;Nombre787;Eólica;12.96;360;100;16
Región de Atacama;NA;Titular409;Nombre409;Solar;4.08;229;27;2
Región del Biobío;NA;Titular1619;Nombre1619;Solar;0.24;10.61;336;2
Región de Atacama;NA;Titular363;Nombre363;Solar;0.288;9;141;2
Región de Los Lagos;NA;Titular810;Nombre810;Eólica;0.408;20.4;480;10
Región de Antofagasta;NA;Titular29;Nombre29;Eólica;9.6;222.6;40;13
Región de Ñuble;NA;Titular1022;Nombre1022;Solar;0.288;8.38;416;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1838;Nombre1838;Solar;0.72;22;234;3
Región de Los Lagos;NA;Titular847;Nombre847;Solar;0.36;9.5;370;2
Región de Tarapacá;NA;Titular1204;Nombre1204;Solar;0.288;9;25;2
Región del Biobío;NA;Titular1710;Nombre1710;Solar;0.168;6.77;128;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1957;Nombre1957;Solar;0.2568;10.52;72;2
Región de La Araucanía;NA;Titular682;Nombre682;Eólica;1.56;39.6;162;16
Región de La Araucanía;NA;Titular770;Nombre770;Solar;0.24;10.32;144;2
Región de Ñuble;NA;Titular1075;Nombre1075;Solar;0.216;10.16;592;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1782;Nombre1782;Solar;3.6;150.31;48;5
Región del Maule;NA;Titular2303;Nombre2303;Solar;2.112;90;105;5
Región de Atacama;NA;Titular329;Nombre329;Solar;1.7424;30;93;3
Región de Valparaíso;NA;Titular1498;Nombre1498;Solar;0.3864;6.098;250;5
Región del Maule;NA;Titular2159;Nombre2159;Solar;0.288;9;63;2
Región de Tarapacá;NA;Titular1178;Nombre1178;Solar;0.324;10.79;34;4
Región de Antofagasta;NA;Titular194;Nombre194;Solar;0.288;11.92;22;5
Región del Maule;NA;Titular2099;Nombre2099;Solar;0.216;10.67;280;3
Región de Antofagasta;NA;Titular53;Nombre53;Eólica-Solar;20.976;1294.71;62;12
Región de Antofagasta;NA;Titular240;Nombre240;Solar;0.288;12.5;76;3
Región de La Araucanía;NA;Titular757;Nombre757;Solar;0.264;11;423;5
Región del Biobío;NA;Titular1644;Nombre1644;Solar;0.216;10.87;376;5
Región de Coquimbo;NA;Titular542;Nombre542;Solar;4.44;153.014;200;3
Región del Maule;NA;Titular2348;Nombre2348;Solar;0.048;2.2;329;3
Región de Atacama;NA;Titular411;Nombre411;Solar;3.36;150.042;108;3
Región del Biobío;NA;Titular1557;Nombre1557;Eólica;8.76;302.4;336;9
Región del Maule;NA;Titular2161;Nombre2161;Solar;0.2928;10.178;105;3
Región del Biobío;NA;Titular1579;Nombre1579;Eólica;13.68;475.2;336;12
Región de Antofagasta;NA;Titular102;Nombre102;Solar;96;1009.28;82;3
Región de Coquimbo;NA;Titular490;Nombre490;Eólica;3.6;79.2;84;9
Región de Valparaíso;NA;Titular1222;Nombre1222;Solar;0.144;7.51;240;3
Región de Antofagasta;NA;Titular237;Nombre237;Solar;5.712;265;40;2
Región de Antofagasta;NA;Titular50;Nombre50;Eólica-Solar;14.9736;614;54;14
Región de Los Lagos;NA;Titular833;Nombre833;Hidro;0.0024;0.3;480;2
Región de Coquimbo;NA;Titular588;Nombre588;Solar;0.288;9;32;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1859;Nombre1859;Solar;0.18;7.016;114;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1765;Nombre1765;Solar;0.1824;7.89;168;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1942;Nombre1942;Solar;0.216;6.47;18;5
Región de Arica y Parinacota;NA;Titular268;Nombre268;Solar;0.2568;10.52;750;5
Región de La Araucanía;NA;Titular695;Nombre695;Hidro;1.14;15;36;4
Región de Los Lagos;NA;Titular855;Nombre855;Solar;0.36;9.34;50;5
Región del Maule;NA;Titular2340;Nombre2340;Solar;0.216;8.208;140;5
Región de Antofagasta;NA;Titular259;Nombre259;Solar;0.24;15.25;94;3
Región de Los Lagos;NA;Titular840;Nombre840;Hidro;0.36;7.3;40;4
Región del Maule;NA;Titular2345;Nombre2345;Solar;0.324;10.725;91;2
Región de Valparaíso;NA;Titular1460;Nombre1460;Solar;0.144;6.295;155;3
Región del Biobío;NA;Titular1570;Nombre1570;Eólica;0.2712;11.2;368;10
Región de Valparaíso;NA;Titular1306;Nombre1306;Solar;0.288;10.46;95;2
Región del Biobío;NA;Titular1564;Nombre1564;Eólica;0.408;16.2;24;13
Región de Coquimbo;NA;Titular586;Nombre586;Solar;0.264;9;92;5
Región de Arica y Parinacota;NA;Titular276;Nombre276;Solar;0.288;13.3;135;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1989;Nombre1989;Solar;0.288;9.58;276;4
Región del Biobío;NA;Titular1687;Nombre1687;Solar;0.48;11.65;136;3
Región de Los Ríos;NA;Titular918;Nombre918;Solar;0.36;10.54;182;4
Región de La Araucanía;NA;Titular733;Nombre733;Solar;0.264;6.74;342;3
Región de Atacama;NA;Titular456;Nombre456;Solar;2.16;68;75;5
Región de Atacama;NA;Titular368;Nombre368;Solar;0.288;12.6;15;2
Región de Ñuble;NA;Titular1000;Nombre1000;Solar;0.24;10.66;736;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2024;Nombre2024;Solar;0.288;11.75;150;2
Región de Los Lagos;NA;Titular786;Nombre786;Eólica;5.376;100;30;16
Región de Atacama;NA;Titular429;Nombre429;Solar;0.24;10.66;33;2
Región del Maule;NA;Titular2276;Nombre2276;Solar;0.24;11;105;5
Región del Biobío;NA;Titular1721;Nombre1721;Solar;0.216;11.016;144;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1774;Nombre1774;Solar;0.18;7.016;198;2
Región de Atacama;NA;Titular378;Nombre378;Solar;0.24;12.5;87;3
Región del Maule;NA;Titular2280;Nombre2280;Solar;0.2928;10.178;42;3
Región del Biobío;NA;Titular1613;Nombre1613;Solar;0.24;10.16;368;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1834;Nombre1834;Solar;0.24;14.196;240;2
Región de Ñuble;NA;Titular1111;Nombre1111;Solar;0.24;11.016;704;2
Región de Los Ríos;NA;Titular913;Nombre913;Solar;0.24;10.33;378;2
Región de Ñuble;NA;Titular1038;Nombre1038;Solar;1.2;67.9;224;3
Región de Atacama;NA;Titular475;Nombre475;Solar;2.16;79;144;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1990;Nombre1990;Solar;0.1968;7.2;240;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1878;Nombre1878;Solar;0.432;9;258;3
Región de Valparaíso;NA;Titular1414;Nombre1414;Solar;0.1992;8.27;40;5
Región de Valparaíso;NA;Titular1384;Nombre1384;Solar;0.144;6.295;205;4
Región del Maule;NA;Titular2330;Nombre2330;Solar;0.288;9;14;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1840;Nombre1840;Solar;0.2256;10.5;6;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1723;Nombre1723;Eólica;5.808;107;18;13
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1760;Nombre1760;Solar;0.24;11.56;240;3
Región del Maule;NA;Titular2302;Nombre2302;Solar;0.264;10.53;147;2
Región de La Araucanía;NA;Titular686;Nombre686;Eólica;1.704;33.6;306;13
Región de Valparaíso;NA;Titular1346;Nombre1346;Solar;0.18;7.01568;245;3
Región de Atacama;NA;Titular412;Nombre412;Solar;8.04;217.6;3;4
Región de Coquimbo;NA;Titular667;Nombre667;Solar;0.24;8.77;132;2
Región de Tarapacá;NA;Titular1142;Nombre1142;Solar;13.2;360;25;5
Región de Tarapacá;NA;Titular1211;Nombre1211;Solar;0.48;9.02;26;5
Región del Biobío;NA;Titular1584;Nombre1584;Eólica;11.928;310.5;280;15
Región de Atacama;NA;Titular327;Nombre327;Solar;0.288;12.5;21;4
Región de Ñuble;NA;Titular959;Nombre959;Solar;0.24;10.66;144;4
Región de La Araucanía;NA;Titular751;Nombre751;Solar;0.24;10.33;297;4
Región de Tarapacá;NA;Titular1196;Nombre1196;Solar;0.288;9;8;5
Región de Antofagasta;NA;Titular38;Nombre38;Eólica;16.8;980;48;13
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1965;Nombre1965;Solar;0.288;12;18;5
Región de Arica y Parinacota;NA;Titular272;Nombre272;Solar;1.632;9;225;3
Región de Atacama;NA;Titular352;Nombre352;Solar;0.216;7.26;111;4
Región de Valparaíso;NA;Titular1217;Nombre1217;Solar;2.784;161.1;65;3
Región del Maule;NA;Titular2136;Nombre2136;Solar;0.18;7.466;98;4
Región de Ñuble;NA;Titular1054;Nombre1054;Solar;0.24;10.66;752;2
Región de Antofagasta;NA;Titular176;Nombre176;Solar;0.324;10.79;64;2
Región de Coquimbo;NA;Titular576;Nombre576;Solar;0.7056;7;164;3
Región de Ñuble;NA;Titular1093;Nombre1093;Solar;0.072;3.49;656;5
Región de Coquimbo;NA;Titular518;Nombre518;Solar;0.24;6;92;2
Región de Atacama;NA;Titular361;Nombre361;Solar;0.24;10.46;51;5
Región de Valparaíso;NA;Titular1282;Nombre1282;Solar;0.0744;2.3;150;4
Región de Valparaíso;NA;Titular1479;Nombre1479;Solar;2.784;161.1;195;3
Región del Biobío;NA;Titular1550;Nombre1550;Eólica;0.2712;11.2;96;10
Región de Antofagasta;NA;Titular112;Nombre112;Solar;2.16;126;54;4
Región de Atacama;NA;Titular341;Nombre341;Solar;0.2376;10.89;129;4
Región de Los Lagos;NA;Titular796;Nombre796;Eólica;12.96;360;150;9
Región de Valparaíso;NA;Titular1234;Nombre1234;Solar;0.24;8.99;120;3
Región de Ñuble;NA;Titular1079;Nombre1079;Solar;0.264;10.52;496;2
Región de Arica y Parinacota;NA;Titular267;Nombre267;Solar;0.2568;10.52;660;2
Región de Atacama;NA;Titular340;Nombre340;Solar;4.8;234.01;147;2
Región del Biobío;NA;Titular1609;Nombre1609;Solar;0.288;12;304;2
Región de Los Ríos;NA;Titular867;Nombre867;Eólica;7.6608;216;210;16
Región de Valparaíso;NA;Titular1400;Nombre1400;Solar;0.2568;10.52;140;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1803;Nombre1803;Solar;2.88;115.002;204;4
Región de Los Lagos;NA;Titular776;Nombre776;Eólica;7.8;304;330;8
Región de Atacama;NA;Titular417;Nombre417;Solar;2.16;68;75;2
Región de Atacama;NA;Titular426;Nombre426;Solar;5.28;222.16;138;5
Región del Maule;NA;Titular2147;Nombre2147;Solar;0.216;10.62;203;2
Región de Ñuble;NA;Titular1090;Nombre1090;Solar;0.1368;9.84;704;2
Región de Antofagasta;NA;Titular213;Nombre213;Solar;3.432;200;58;4
Región del Biobío;NA;Titular1627;Nombre1627;Solar;0.288;9;128;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1846;Nombre1846;Solar;0.2208;10.3;258;2
Región de Coquimbo;NA;Titular599;Nombre599;Solar;0.2064;7.53;136;4
Región de Coquimbo;NA;Titular665;Nombre665;Solar;0.228;12.5;84;2
Región de Atacama;NA;Titular344;Nombre344;Solar;5.28;250;21;2
Región de Atacama;NA;Titular362;Nombre362;Solar;0.216;7.26;135;4
Región de Tarapacá;NA;Titular1199;Nombre1199;Solar;15.24;381.8;30;3
Región de Valparaíso;NA;Titular1512;Nombre1512;Solar;0.288;11.41;240;5
Región del Biobío;NA;Titular1642;Nombre1642;Solar;0.24;11.016;208;3
Región del Biobío;NA;Titular1669;Nombre1669;Solar;0.192;6;336;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1941;Nombre1941;Solar;0.288;8.23;294;5
Región del Maule;NA;Titular2179;Nombre2179;Solar;0.204;8.93;42;5
