Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MMUS;Capacidad_MW;Posicion
Región de Coquimbo;Salamanca;Plaza Sunlight SpA;Parque Fotovoltaico Plaza Sunlight;Solar;10;8.77;15
Región de Valparaíso;Quintero;Corniglia SpA;Planta Fotovoltaica Corniglia;Solar;19;14.86;2
Región Metropolitana de Santiago;Buin;ORION POWER S.A.;Parque Solar Fotovoltaico Rucapaine;Solar;12;12.94;1
Región Metropolitana de Santiago;Lampa;GR Villarrica SpA;Planta Fotovoltaica Belén 6MW;Solar;6.6;7.24;1
Región del Libertador Gral. Bernardo O’Higgins;Coinco;MAUI SOLAR SpA;NUEVA CENTRAL SOLAR FOTOVOLTAICA LO CONTY;Solar;11.2;10.12;6
Región Metropolitana de Santiago;Padre Hurtado-Peñaflor;Peteroa Energy SpA;PARQUE FOTOVOLTAICO LOS CORRALES DEL VERANO;Solar;20.4;21.5;1
Región Aisén del Gral.Carlos Ibáñez del Campo;Coyhaique;Eólica Kosten Aike SpA;Proyecto Eólico Kosten Aike;Eólica;62;36.0;10
Región de Antofagasta;Mejillones;Farol Solar SpA;Parque Fotovoltaico Farol;Solar;12;9.0;7
Región Metropolitana de Santiago;Talagante;Santa Marta SpA;Parque Fotovoltaico Santa Marta;Solar;10;11.64;1
Región de Valparaíso;San Antonio;PV Power Chile SpA;Parque Fotovoltaico Leyda;Solar;96;96.0;2
Región Metropolitana de Santiago;Til-Til;Samantha Solar SpA;Parque Solar Samantha;Solar;160;80.94;1
Región de La Araucanía;Freire;ENERGIA RENOVABLE ZAFIRO SPA;Parque Fotovoltaico Bellavista;Solar;11;11.04;14
Región del Maule;Curicó;Rincon de Leon Solar S.p.A.;Planta Fotovoltaica Rincón de León Solar;Solar;10;11.0;13
Región del Biobío;Los Angeles;Planta Solar Santa Marta SpA;Planta Solar Santa Marta;Solar;10;10.53;9
Región de La Araucanía;Loncoche;ENERGIA RENOVABLE CORAL SPA;Parque Fotovoltaico Loncoche;Solar;8;11.0;14
Región de Valparaíso;La Ligua;PARQUE FOTOVOLTAICO LA LIGUA SPA;PMGD Cóndor La Ligua II;Solar;6;7.5;2
Región de Valparaíso;Valparaíso;Solarig Development Chile SpA;Central Fotovoltaica Sol del Sauzal;Solar;40;9.0;2
Región del Maule;Maule;Fotovoltaica Galleguillos SpA;Parque Fotovoltaico El Prado;Solar;11;9.0;13
Región Metropolitana de Santiago;Til-Til;Montenegro SpA;PMGD Montenegro I;Solar;9.5;6.605;1
Región de Atacama;Copiapó;INVERSIONES CANDELARIA SOLAR SPA;Adecuación Proyecto Parque Candelaria Solar y su Línea de Transmisión;Solar;204;166.98;16
Región Metropolitana de Santiago;Isla de Maipo;PLANTA SOLAR BALMACEDA SPA;Planta Solar Balmaceda;Solar;10;11.115;1
Región del Maule;Linares;EL LIMAHUE SPA;Nueva Central Solar Fotovoltaica El Rosal;Solar;8.4;8.4;13
Región de Tarapacá;Pozo Almonte-Alto Hospicio;Minerva SpA;Parque Fotovoltaico con Capacidad de Almacenamiento Minerva;Solar;28;9.0;8
Región de La Araucanía;Renaico;Sociedad Vientos de Renaico SpA;Parque Eólico Vergara;Eólica;65;36.3;14
Región de Atacama;Vallenar;Generadora North West SpA;Planta Fotovoltaica North West;Solar;10;12.5;16
Región de Antofagasta;María Elena;Ibereolica Solar Antofagasta SpA.;Proyecto Solar Antofagasta;Solar;532.5;550.0;7
Región de Tarapacá;Pozo Almonte;CVE PROYECTO VEINTISEIS SPA;Proyecto Parque Solar Fotovoltaico Macarena Solar;Solar;3;3.12;8
Región de Tarapacá;Pozo Almonte;GR MAITEN SPA;Parque Fotovoltaico Bellavista;Solar;13.5;9.0;8
Región del Libertador Gral. Bernardo O’Higgins;Malloa;Santa Ines SpA;Parque Fotovoltaico Santa Ines;Solar;10;9.56;6
Región del Libertador Gral. Bernardo O’Higgins;Mostazal;Candelaria Solar SpA;Ampliación Parque Solar Fotovoltaico PMGD Candelaria;Solar;8.6;7.83;6
Región Metropolitana de Santiago;Maipú;CVE Proyecto Treinta y Dos SpA.;Gabriela Solar;Solar;11;10.192;1
Región del Maule;Linares;Isidora Solar SpA;Parque fotovoltaico San Yolando;Solar;10;10.025;13
Región de Coquimbo;La Serena;PFV EL GAVIOTIN SPA;Parque Fotovoltaico El Gaviotin;Solar;12;12.0;15
Región del Libertador Gral. Bernardo O’Higgins;Codegua;KABAN ENERGY SPA;Parque Fotovoltaico Kaban;Solar;15;8.99;6
Región del Biobío;Mulchén;Soc. Eolica Valle Verde SpA;Parque Eólico Newen Küruf;Eólica;230;186.0;9
Región del Maule;Curicó;Belen Solar SpA;Parque Solar Fotovoltaico Barcelona;Solar;9;10.62;13
Región de Los Lagos;Río Negro;Energia Renovable Diamante SpA;Parque Fotovoltaico Caipulli;Solar;15;9.34;12
Región del Biobío;Laja;Andina Solar 10 SPA;Parque Fotovoltaico Laja;Solar;10;10.79;9
Región de Coquimbo;Ovalle;CVE PROYECTO TREINTA Y OCHO SPA;Parque Fotovoltaico Francia Solar;Solar;11;9.0;15
Región del Maule;Cauquenes;Parque Solar Tangua SpA;Parque Fotovoltaico El Llano;Solar;10.7;10.66;13
Región del Biobío;Cabrero;LUZ DE SOL 5 SPA;Parque Fotovoltaico La Colonia;Solar;10;11.016;9
Región de Los Ríos;La Unión-Paillaco;Parque Eólico Ovejera Sur SpA;PARQUE EÓLICO OVEJERA SUR;Eólica;280;258.0;4
Región Metropolitana de Santiago;Melipilla;Planta Solar Las Torres SpA.;Planta Solar Las Torres;Solar;10;11.0;1
Región del Libertador Gral. Bernardo O’Higgins;Codegua;Solar Uno SpA;PROYECTO FOTOVOLTAICO LA BLANQUINA;Solar;12;11.75;6
Región de Antofagasta;Taltal;Librillo Solar SpA;Parque Solar Fotovoltaico Pampa Librillo;Solar;90;126.0;7
Región de Ñuble;Chillán;Draco Solar SpA;Parque Solar Chillán San Alberto;Solar;12;12.0;3
Región de Los Ríos;Panguipulli;Sociedad Hidroeléctrica Río Conquil S.A.;Proyecto Hidroeléctrico El Mañío (Reingreso);Hidro;15.5;7.16;4
Región de Ñuble;Chillán;Casa de Lata Solar SpA;Casa de Lata Solar;Solar;12;12.0;3
Región de Valparaíso;Catemu;PV Power Chile SpA;Parque Fotovoltaico El Caqui;Solar;10.7;10.52;2
Región del Biobío;Mulchén;MVC SOLAR 35 SpA;Parque Fotovoltaico Doña Ximena;Solar;11;11.0;9
Región de Atacama;Diego de Almagro;Empresa de Desarrollo de Energías Renovables Alen Walung S.A.;Proyecto Llanta Norte 1;Solar;45;34.0;16
Región del Biobío;Los Angeles;MVC SOLAR 12 SpA;Parque Fotovoltaico El Rosal;Solar;11;11.0;9
Región de Ñuble;Bulnes;Bulnes Solar SpA;Bulnes Solar;Solar;12;12.0;3
Región Metropolitana de Santiago;Til-Til;SOLAR TI CUARENTA SPA;Parque Fotovoltaico El Bautizo;Solar;12;12.0;1
Región de La Araucanía;Loncoche;ENERGIA RENOVABLE CORAL SPA;Parque Fotovoltaico Loncoche;Solar;11;6.74;14
Región de Los Ríos;Valdivia;ENERGIA RENOVABLE ZAFIRO SPA;Parque Fotovoltaico Los Arrayanes;Solar;15;12.16;4
Región Metropolitana de Santiago;San Pedro;Solar TI Veinticuatro SpA;Parque Solar Villa;Solar;6.6;6.69;1
Región del Biobío;Los Angeles;Windkraft cuatro Chile SpA;Instalación de 3 aerogeneradores LASUR 1;Eólica;17;16.8;9
Región Metropolitana de Santiago;María Pinto;ORION POWER S.A.;Parque Solar Fotovoltaico Los Molinos;Solar;11;10.75;1
Región del Libertador Gral. Bernardo O’Higgins;Chimbarongo;GR ULMO SpA;Planta Fotovoltaica El Romeral;Solar;11.5;8.0;6
Región de Valparaíso;Limache;Sunco Energy Chile SpA;Parque Fotovoltaico San Alfonso;Solar;10;8.16;2
Región de Ñuble;Yungay;MVC SOLAR 5 SPA;Planta Fotovoltaica La Palma;Solar;11;10.5;3
Región de Antofagasta;Taltal;IBEREOLICA ERNC ANTOFAGASTA SPA;Proyecto ERNC Antofagasta;Eólica-Solar;874;1294.71;7
Región de Valparaíso;Algarrobo;Alghero Solar SpA;Planta Fotovoltaica Alghero Solar;Solar;33;18.24;2
Región del Libertador Gral. Bernardo O’Higgins;Lolol;CLD GENERACION 1 SpA;Planta Fotovoltaica Lolol;Solar;77;69.8;6
Región de Valparaíso;La Ligua-Papudo;LUZ DE SOL 5 SPA;Casas Viejas Solar;Solar;116;140.83;2
Región Metropolitana de Santiago;Til-Til;Til Til Energía Spa;Parque Fotovoltaico Las Bateas;Solar;30;29.5;1
Región Metropolitana de Santiago;Pudahuel;FENIX SPA;Parque Solar Fénix;Solar;12;14.69;1
Región del Libertador Gral. Bernardo O’Higgins;Nancagua;PV Power Chile SpA;Parque Fotovoltaico Nancagua;Solar;7.5;7.016;6
Región del Libertador Gral. Bernardo O’Higgins;Las Cabras;OPDE CHILE SPA;Proyecto Parque Fotovoltaico Albatros;Solar;10;8.8;6
Región de Valparaíso;San Esteban;OPDE CHILE SPA;Parque Fotovoltaico San Esteban;Solar;9;11.75;2
Región de Tarapacá;Pozo Almonte;Llanos del Sol SpA;Parque Fotovoltaico Llanos del Sol;Solar;635;381.8;8
Región de Antofagasta;Antofagasta;DPP HOLDING CHILE SPA;Parque Fotovoltaico Lince Solar;Solar;12;12.5;7
Región de Antofagasta;Taltal;Engie Energía Chile S.A.;Parque Eólico Pampa Fidelia;Eólica;645;336.0;7
Región de Tarapacá;Pozo Almonte;GENERADORA Y DISTRIBUIDORA DE ENERGÍA OXUM SPA;Parque Fotovoltaico Oxum del Tamarugal;Solar;326.5;362.76;8
Región de Los Lagos;Purranque;Windkraft Purranque 2 SPA;Instalación de 3 Aerogeneradores Purranque 2;Eólica;17;16.8;12
Región Metropolitana de Santiago;Paine;ORION POWER S.A.;Parque Solar Fotovoltaico Paine 9 MW;Solar;10;10.01;1
Región del Biobío;Los Angeles;ENERGY HEAD CONSULTING SpA;San Eugenio Solar;Solar;12;11.84;9
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;RA SOLAR SpA;Parque Fotovoltaico Alcones;Solar;120;115.002;6
Región de Valparaíso;Nogales;Andina Solar 13 SpA;Parque Solar La Peña;Solar;8;9.38;2
Región de Ñuble;San Ignacio;Doña Graciela Solar SPA;Santa Graciela Solar;Solar;93;93.41;3
Región del Maule;Teno;Encina SpA;Parque Solar Fotovoltaico Encina;Solar;12;7.1;13
Región de Los Ríos;La Unión;ENERGIA RENOVABLE JADE SPA;PARQUE FOTOVOLTAICO LOS ALAMOS;Solar;15;9.0;4
Región de Tarapacá;Huara;SCM COSAYACH YODO;Parque Solar Fotovoltaico Negreiros;Solar;3.6;4.21;8
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Emu Spa;Parque Fotovoltaico Emú;Solar;12;10.8;6
Región de Valparaíso;Los Andes;SOLAR TI CINCO SPA;Juncal Solar;Solar;11;9.755;2
Región de Coquimbo;Combarbalá;Fontus Prime Solar SpA;Parque Solar Fotovoltaico Combarbalá;Solar;12;12.5;15
Región del Biobío;Negrete;Parque Eólico Coihue SPA;Proyecto Eólico Coihue;Eólica;30;21.0;9
Región de Valparaíso;Limache;Andina Solar 2 SPA;Parque Fotovoltaico Tabolango;Solar;12.3;9.0;2
Región de Valparaíso;Casablanca;Solar TI Veintiséis SpA;Proyecto Parque Fotovoltaico Terruño;Solar;11.2;10.89;2
Región de Antofagasta;Antofagasta;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Ckuru;Solar;13.5;10.79;7
Región de Antofagasta;Taltal;Energía Eólica Paposo SpA;Parque Terra Energía Renovable;Eólica-Solar;750;862.5;7
Región de Arica y Parinacota;Arica;Andino Solar SpA;PROYECTO FOTOVOLTAICO ANDINO;Solar;12;13.2;5
Región de Coquimbo;Ovalle;Parque Eólico Locayo SpA;Parque Eólico Quebrada Locayo;Eólica;396;240.0;15
Región de Coquimbo;Ovalle-Punitaqui;PARQUE FOTOVOLTAICO BELLAVISTA DE PUNITAQUI SPA;Proyecto Solar Bellavista de Punitaqui;Solar;297;394.0;15
Región del Maule;Romeral;Parque Solar El Sauce SpA;PARQUE FOTOVOLTAICO ROMERO;Solar;9;10.67;13
Región de Valparaíso;San Antonio;SUSTERRA SpA;Parque Solar Fotovoltaico Leyda y Sistema de Almacenamiento de Energía con Baterías (BESS);Solar;15.2;9.0;2
Región de Antofagasta;Antofagasta;Parque Fotovoltaico Los Durmientes SpA;Parque Fotovoltaico Los Durmientes;Solar;300;257.0;7
Región del Maule;Teno;Teno Solar II S.p.A.;Planta Fotovoltaica Teno Solar II;Solar;10;11.0;13
Región de Arica y Parinacota;Camarones;Alwa II SpA;Proyecto Parque Fotovoltaico Alwa II;Solar;343;198.04;5
Región del Biobío;Los Angeles;Ruben Solar SPA;Parque Fotovoltaico Santa Pamela;Solar;7;6.77;9
Región de Tarapacá;Pozo Almonte;SCM COSAYACH YODO;Parque Solar Fotovoltaico Soledad;Solar;5;5.92;8
Región Metropolitana de Santiago;San Pedro;CVE Proyecto Veinticinco SpA;Lirio Solar;Solar;9;11.189;1
Región del Biobío;Los Angeles;Juan Solar SPA;Parque Fotovoltaico Alcázar Solar;Solar;10;10.53;9
Región del Maule;Talca;PV Power Chile SpA;Parque Fotovoltaico Aeropuerto;Solar;7.5;7.01;13
Región de Atacama;Tierra Amarilla;CVE Proyecto CINCUENTA Y SIETE SpA;Parque Fotovoltaico Syrah Solar;Solar;8.7;5.14;16
Región de Los Lagos;Puerto Varas;Energía Renovable Platino SpA;Parque Fotovoltaico El Tepual Norte;Solar;15;9.0;12
Región de Arica y Parinacota;Arica;Pesquero Solar SpA;Proyecto Fotovoltaico Pesquero;Solar;12;13.3;5
Región del Libertador Gral. Bernardo O’Higgins;San Vicente;Blue Solar Doce SPA;Parque Solar San Vicente TT;Solar;9.4;10.5;6
Región de Valparaíso;La Ligua;Longotoma Solar SpA;Parque Fotovoltaico Los Boldos;Solar;290;240.8;2
Región del Biobío;Los Angeles;MVC Solar 38 SpA;Parque Fotovoltaico La Perla;Solar;9;11.016;9
Región Metropolitana de Santiago;Calera de Tango;Planta Solar Santa Isidora SpA.;Proyecto Planta Solar Santa Isidora;Solar;10;11.0;1
Región Metropolitana de Santiago;Curacaví;ORION POWER S.A.;Parque solar fotovoltaico Carena;Solar;12;11.1;1
Región del Libertador Gral. Bernardo O’Higgins;Quinta de Tilcoco;ORION POWER S.A.;Parque Solar Fotovoltaico Lourdes;Solar;6.6;6.0;6
Región Metropolitana de Santiago;San Bernardo;Solek Chile Services SpA;Parque Fotovoltaico Doña Carmen PMG;Solar;10;10.66;1
Región de Antofagasta;Antofagasta;Cristales SpA;Parque Fotovoltaico Cristales;Solar;710;379.0;7
Región de Valparaíso;Casablanca;Taranto Solar SpA;Planta Fotovoltaica Taranto Solar SpA;Solar;11;11.79;2
Región del Maule;Talca;López Solar SpA.;Parque Fotovoltaico López Solar;Solar;10;13.12;13
Región Metropolitana de Santiago;Buin;El Plomo Solar SpA;Parque Fotovoltaico El Plomo;Solar;12;12.5;1
Región Metropolitana de Santiago;Colina;CIUDAD LUZ CHICUREO SOLAR SpA;PROYECTO PLANTA FOTOVOLTAICA CHICUREO SOLAR;Solar;9;10.12;1
Región de Ñuble;Chillán;Carmen Solar SpA;FV Ñuble;Solar;13;10.8;3
Región de Ñuble;Ñiquén;TEPÚ SPA;Parque Solar Fotovoltaico Tepú;Solar;7.5;7.5;3
Región del Libertador Gral. Bernardo O’Higgins;San Fernando;Hidroeléctrica La Confluencia S.A.;Nuevo Parque Solar Fotovoltaico La Correana;Solar;9.2;10.3;6
Región de Arica y Parinacota;Arica;Pesquero Solar SpA;Proyecto Fotovoltaico Las Chilcas;Solar;12;12.9;5
Región del Libertador Gral. Bernardo O’Higgins;Mostazal;San Francisco SG SPA;San Francisco Solar;Solar;10;15.45;6
Región de Ñuble;Chillán;Cato Solar SpA;Cato Solar;Solar;12;12.0;3
Región de Ñuble;Yungay;Parque Solar Pequén SpA;Parque Solar Pequén;Solar;10.6;11.76;3
Región de Los Ríos;Río Bueno;BLUE LIGHT ENERGY SPA;Parque Solar Rio Bueno;Solar;18;9.0;4
Región Metropolitana de Santiago;Colina;Solar Ti Cincuenta y Siete SpA;Parque Fotovoltaico Amuleto;Solar;12;11.3;1
Región del Maule;Río Claro;Cobeña Energía SpA;PSF Batres;Solar;7.5;7.466;13
Región de Ñuble;Yungay;Empresa Eléctrica Raulí SpA.;Parque Solar Raulí;Solar;5.7;9.84;3
Región de Valparaíso;Llay Llay;GR Piñol SpA;Planta Fotovoltaica Caleu 9 MW;Solar;9.9;10.89;2
Región de Ñuble;San Ignacio-El Carmen-Pemuco;Hy2Wind SpA;Parque Eólico Los Coihues;Eólica;470;187.2;3
Región de Ñuble;San Carlos;LUZ DE SOL 5 SPA;Parque Fotovoltaico Junquillo;Solar;10;11.016;3
Región de Atacama;Copiapó;CMS SPVIII SpA;Parque Fotovoltaico Los Llanos;Solar;12.6;12.6;16
Región de Tarapacá;Pozo Almonte;Taruca Solar SpA;Proyecto Fotovoltaico El Carmelo;Solar;12;11.1;8
Región del Biobío;Mulchén;Vientos del Valle SPA;Parque Eólico Vientos del Valle;Eólica;230;208.8;9
Región de Atacama;Caldera;Manzano Solar SpA;Calderaza Solar;Solar;9;9.9;16
Región Metropolitana de Santiago;Padre Hurtado;Solek Chile Holding SpA;Parque Fotovoltaico Santa Marta;Solar;10;3.23;1
Región Metropolitana de Santiago;El Monte;ORION POWER S.A.;Parque Solar Fotovoltaico El Paico;Solar;20;10.72;1
Región del Libertador Gral. Bernardo O’Higgins;Rengo;Rengo Solar SpA;Parque Fotovoltaico Rengo Solar;Solar;10;14.196;6
Región del Maule;Retiro;PFV El Caiquen spa;Parque Fotovoltaico El Caiquén;Solar;12;9.072;13
Región Metropolitana de Santiago;Padre Hurtado;MVC SOLAR 51 SpA;Parque Fotovoltaico Doña Petronia;Solar;11;11.0;1
Región de Valparaíso;Zapallar;OVEJERÍA SPA;Planta Fotovoltaica San Marino Solar;Solar;12;10.44;2
Región del Maule;Maule;Sol del Sur 2 SpA;Parque Fotovoltaico San Serapio;Solar;9;11.016;13
Región de Coquimbo;Coquimbo;Las Tacas I SpA;Parque Fotovoltaico Las Tacas I;Solar;9;10.5;15
Región Metropolitana de Santiago;Buin-Paine;Tedlar Marte SpA;Parque Fotovoltaico Cousiño;Solar;8;12.5;1
Región de Antofagasta;María Elena;INVERSIONES FRONTERA SOLAR SPA;Parque Frontera Solar;Solar;91;120.36;7
Región del Biobío;Mulchén;Sociedad Vientos de Renaico SpA;Parque Eólico Piedra Amarilla;Eólica;118;69.3;9
Región de Tarapacá;Pozo Almonte;Solar Oriente SpA;Parque Fotovoltaico Solar Oriente;Solar;990;581.46;8
Región de Valparaíso;Casablanca;Andina Solar 1 SPA;Parque Fotovoltaico El Manzano;Solar;12.3;11.9;2
Región Metropolitana de Santiago;Maipú;CVE Proyecto Cuarenta y Ocho SpA.;Parque Fotovoltaico Hortensia Solar;Solar;11;9.0;1
Región Metropolitana de Santiago;Lampa;Sol de Septiembre SpA;Parque Fotovoltaico Sol de Septiembre;Solar;10;11.4;1
Región del Libertador Gral. Bernardo O’Higgins;Mostazal;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Picunche;Solar;13.5;10.8;6
Región del Biobío;Los Angeles;LUZ DE SOL 2 SPA;Parque Fotovoltaico San Lucas;Solar;10;11.016;9
Región de Antofagasta;Antofagasta;Andes Mainstream SpA;Proyecto Parque Eólico Morros;Eólica;210;192.0;7
Región del Maule;Teno;GR Rapanui SpA;Parque Fotovoltaico Planchón;Solar;185.5;91.01;13
Región de Antofagasta;Sierra Gorda;El Condor Solar SpA;Proyecto Fotovoltaico La Sierra II;Solar;12;9.97;7
Región del Libertador Gral. Bernardo O’Higgins;Litueche;Parque Eólico Litueche SpA;Actualización Proyecto Parque Eólico Litueche;Eólica;242;107.0;6
Región de Atacama;Vallenar;Parque Solar Las Cunas SpA;Parque Fotovoltaico Las Cunas;Solar;460;540.09;16
Región Metropolitana de Santiago;Til-Til;CVE Proyecto Cincuenta y Cinco SpA.;Parque Fotovoltaico Las Tres Angélicas Solar;Solar;8.7;6.0;1
Región del Maule;Parral;Humberto Solar SpA;Parque Fotovoltaico La Quinta PMG;Solar;10.7;10.66;13
Región del Biobío;Arauco-Curanilahue;Parque Eólico Vientos del Pacífico SpA;Proyecto Eólico Vientos del Pacífico;Eólica;150;68.0;9
Región de Valparaíso;Catemu;ENAMI SOLAR SPA;Parque Fotovoltaico Enami Solar;Solar;10;8.99;2
Región del Maule;Curicó;Len SpA;Parque Solar Fotovoltaico Len;Solar;9.8;10.34;13
Región de Atacama;Vallenar;Parque Solar Las Cunas SpA;Parque Fotovoltaico Las Cunas;Solar;716;540.0;16
Región de Coquimbo;Ovalle;QUEBRADA SECA SPA;Parque Eólico Quebrada Seca;Eólica;400;266.0;15
Región de Valparaíso;La Ligua-Papudo;CERRO BLANCO SPA;Parque Solar Fotovoltaico Cerro Blanco;Solar;350;349.245;2
Región de Coquimbo;La Serena;DPP HOLDING CHILE SPA;Parque Fotovoltaico Quebrada de Talca;Solar;12;9.0;15
Región de Antofagasta;Mejillones;Angamos Solar SpA;Parque Fotovoltaico Angamos;Solar;12;9.0;7
Región de Antofagasta;María Elena;Colbún S.A.;Planta Fotovoltaica Inti Pacha;Solar;788;788.0;7
Región de Antofagasta;Calama;ANDES GREEN COMPANY SOCIEDAD ANONIMA;SEONGNAM;Solar;4000;1009.28;7
Región del Maule;Curicó;José Solar SpA;Parque fotovoltaico Nuestra Señora de los Angeles;Solar;9;10.5;13
Región del Maule;Linares;Valle Solar SpA;Parque Solar Las Vegas;Solar;12;9.0;13
Región del Maule;Linares;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Linar;Solar;13.5;10.785;13
Región del Biobío;Quilleco;Per Orolonco SPA;PSF Leona del Agua II;Solar;17;18.3;9
Región Metropolitana de Santiago;Pudahuel;Grupo energy Lancuyen spa;Planta Solar La Paz;Solar;10;11.0;1
Región de Antofagasta;Taltal;Parque Eolico Wayra SpA;Parque Eolico Wayra;Eólica-Solar;623.9;614.0;7
Región de Valparaíso;Putaendo;SLK CB Nueve SpA.;Ampliación Parque Solar Rinconada Sur;Solar;4.3;3.48;2
Región del Biobío;Los Angeles-Mulchén;Inversiones San Carlos SpA;Central Hidroeléctrica San Carlos;Hidro;420;169.8;9
Región del Libertador Gral. Bernardo O’Higgins;Rengo;OPDE CHILE SPA;Parque Fotovoltaico Esmeralda;Solar;9;10.07;6
Región de Los Lagos;Ancud;WIND 2 SPA;Instalación de 3 Aerogeneradores en Sector Colonia Belbén;Eólica;17;16.2;12
Región de Ñuble;San Carlos;Montejo Energía SpA;Planta Solar Fotovoltaica Mutupin;Solar;10;9.0;3
Región del Maule;Constitución-Empedrado-San Javier;Atlas Energía SpA;Parque Eólico El Guanaco;Eólica;348;316.8;13
Región de Tarapacá;Pozo Almonte;ANDES GREEN ENERGY S.A.;GHUNGNAM KCS;Solar;2789.1;1009.0;8
Región Metropolitana de Santiago;Pirque;Platero Spa;Parque Solar Platero;Solar;15;7.0;1
Región del Libertador Gral. Bernardo O’Higgins;Las Cabras;MARGARITA SOLAR SpA;NUEVA CENTRAL SOLAR FOTOVOLTAICA MARGARITA;Solar;11.2;11.188;6
Región de Ñuble;San Ignacio;Solek Chile Holding SpA;Parque Fotovoltaico El Trigal;Solar;10;10.66;3
Región de Los Ríos;La Unión;ENERGIA RENOVABLE JADE SPA;PARQUE FOTOVOLTAICO LOS ALAMOS;Solar;15;11.45;4
Región de Ñuble;Bulnes;PFV EL COLIBRI SPA;Parque Fotovoltaico El Colibri;Solar;12;12.0;3
Región del Libertador Gral. Bernardo O’Higgins;San Vicente;Parque Solar La Rosa SpA;Parque Fotovoltaico La Rosa;Solar;7;7.033;6
Región de Coquimbo;Ovalle;Bronte SpA;Parque Fotovoltaico Bronte;Solar;12;9.0;15
Región del Biobío;Cabrero;IMPULSO SOLAR EL RESPLANDOR SpA;Parque Solar Cabrero;Solar;15.5;16.73;9
Región de Coquimbo;Illapel;Diego de Almagro Solar 2 S.A.;Parque Solar Fotovoltaico Auco;Solar;12;9.0;15
Región de Valparaíso;El Tabo;Módena Solar SpA;Planta Fotovoltaica Módena Solar;Solar;24;12.05;2
Región de Coquimbo;La Higuera;Energia Renovable Verano Tres SpA;Parque Solar Fotovoltaico Punta del Viento;Solar;138;172.68;15
Región del Biobío;Los Angeles;COCHARCAS SOLAR SpA;Duqueco Solar;Solar;12;12.0;9
Región del Libertador Gral. Bernardo O’Higgins;San Fernando;Cotinga Spa;Parque Fotovoltaico Cotinga;Solar;15;9.0;6
Región de Antofagasta;Taltal;EDF en Chile Holding SpA.;Parque Eólico Wayra;Eólica-Solar;623.9;557.0;7
Región de Ñuble;Chillán-Coihueco;Unión Solar SpA;Parque Fotovoltaico Monterrico Solar;Solar;306;200.0;3
Región del Biobío;Cabrero;EDUARDO MORICE SOFFIA;PARQUE FOTOVOLTAICO CABRERO SOLAR;Solar;10;9.0;9
Región del Maule;Linares;LINARES GENERACION SPA;Nueva Central Solar Fotovoltaica Linares;Solar;12.1;10.78;13
Región de Antofagasta;María Elena;Pleiades S.A.;Parque Fotovoltaico Alfa Solar;Solar;450;726.0;7
Región del Maule;Cauquenes;PSF Toruk Makto Solar SpA;Parque Fotovoltaico Chirigues;Solar;189.7;104.1;13
Región del Libertador Gral. Bernardo O’Higgins;Rengo;GR Archipiélago Juan Fernández SpA;Planta Fotovoltaica Rengo 7MW;Solar;7.7;8.44;6
Región de Antofagasta;Sierra Gorda;Pampa Unión SpA;Ampliación Planta Solar Pampa Unión;Solar;360;750.0;7
Región Metropolitana de Santiago;Melipilla;GR Pilo SpA;Planta Fotovoltaica Nahuén;Solar;11.5;9.0;1
Región del Maule;Linares;BLE Asesorías e Inversiones SpA;Parque Solar Paso Cunao;Solar;9.4;10.49;13
Región Metropolitana de Santiago;Puente Alto-Pirque;Los Maitenes Solar SpA;Parque Fotovoltaico Pirque Solaris;Solar;44;66.0;1
Región de Valparaíso;Catemu;GR PUYEHUE SPA;Parque Fotovoltaico Triqueta;Solar;385.3;130.0;2
Región de Valparaíso;Cabildo;LUZ DE SOL 5 SPA;Parque Fotovoltaico Cabildo Solar;Solar;60;81.17;2
Región de Tarapacá;Pica-Pozo Almonte;ANDES GREEN ENERGY S.A.;BUNDANG-GU KCS;Solar;4000;1009.0;8
Región de Coquimbo;Ovalle;Sunhunter SpA;Parque Fotovoltaico Sunhunter;Solar;12;9.0;15
Región del Maule;Molina;PFV Gavilán SpA;Parque Fotovoltaico Gavilán;Solar;66;29.0;13
Región de Valparaíso;Puchuncaví;Solar Ray 1 SpA;Solar Ray 1;Solar;40;44.4;2
Región de Los Lagos;Calbuco;Dalca SpA;PMGD Dalca;Eólica;16;21.6;12
Región de Ñuble;Yungay;Empresa Eléctrica Guindo Santo SpA;Parque Solar Guindo Santo;Solar;7.4;11.17;3
Región del Maule;Molina;PFV CIGUEÑA SPA;Parque Fotovoltaico Cigüeña;Solar;66;24.0;13
Región Metropolitana de Santiago;Paine;San Ramón Solar SpA;Parque Fotovoltaico San Ramón;Solar;12;10.9;1
Región del Maule;San Javier;Blue Light Energy SpA;Parque Solar San Javier;Solar;150;144.189;13
Región de Coquimbo;Coquimbo-Andacollo;Don Esteban SpA;Parque Fotovoltaico Don Oscar Solar;Solar;9.5;12.5;15
Región de Atacama;Vallenar;Generadora Michay SpA.;Planta Solar Fotovoltaica Michay;Solar;11;12.5;16
